"t" "p" "padj"
"1007_s_at" -3.27427370714614 0.00144549172432648 0.00437811038611615
"1053_at" -1.85790326352564 0.0656936199435043 0.108205129170892
"117_at" 4.29195706076348 3.89663420521136e-05 0.000192532171090362
"1255_g_at" 2.33010215717346 0.0225532523875541 0.0441796042333339
"1294_at" 0.0100090869149934 0.992029781900042 0.993664429863536
"1316_at" -0.691556483854355 0.490487946660892 0.570312405226839
"1320_at" -1.18516961909528 0.238247699915572 0.314940620326894
"1405_i_at" 7.0855014569975 9.22558161891829e-11 1.22460420083607e-09
"1438_at" -5.80698984819293 6.20782577201445e-08 5.44539204137706e-07
"1487_at" -6.10086405680617 1.30385621809913e-08 1.26605294700544e-07
"1494_f_at" -1.8701767132528 0.0640090877961093 0.10579965251061
"1552256_a_at" -0.844027540194652 0.400428198565989 0.482768023153256
"1552257_a_at" -4.84898593085045 4.13004122290336e-06 2.58309484519149e-05
"1552263_at" 0.292801358937322 0.770216685696068 0.818545453904036
"1552264_a_at" -0.890000126739717 0.375104448513721 0.457865981812081
"1552266_at" -2.02230416730056 0.0454003631072459 0.079397852639869
"1552269_at" -3.93542738560647 0.000135524366996604 0.000575106989143568
"1552271_at" -3.87063763868142 0.000173596008151953 0.000711765147566885
"1552274_at" 6.35603085195603 3.72769471146488e-09 3.9408310286723e-08
"1552275_s_at" 5.7517673655533 6.87030958210906e-08 5.98136134404727e-07
"1552276_a_at" 0.631076864565377 0.52920480693392 0.606618946340902
"1552277_a_at" 6.76299674289757 7.12939760940147e-10 8.36507189098864e-09
"1552279_a_at" -1.17274209788481 0.243366511188602 0.320542249680752
"1552280_at" 0.624634702175062 0.533493214841452 0.610652120526966
"1552281_at" -4.37769168552779 2.58149784011392e-05 0.000133543910765977
"1552283_s_at" -1.50348017954136 0.135348907321378 0.197322680937845
"1552287_s_at" 0.61728860366641 0.538293527692366 0.615099533690806
"1552288_at" 4.0141037558464 0.00014869537271248 0.00062219303763473
"1552289_a_at" 5.44066827989169 8.92885968702735e-07 6.41752751233946e-06
"1552291_at" -5.67262435361666 8.66945800776874e-08 7.44114505018835e-07
"1552293_at" -3.20993659011077 0.00167223284426867 0.00495750941248513
"1552295_a_at" 10.5387207641698 1.91189774341139e-18 6.62298691365186e-17
"1552296_at" -1.54145406540535 0.125653750050259 0.185498025831872
"1552299_at" -5.9579615405722 2.1899019765911e-08 2.05796061438437e-07
"1552306_at" -3.64175229807707 0.000397217087486453 0.00145565350212333
"1552307_a_at" 2.48687408771291 0.0141979488011256 0.0299887656742325
"1552309_a_at" 17.9350937694473 3.74608493926601e-32 7.01403034514469e-30
"1552310_at" -0.158884124981253 0.874014470998528 0.902389790677108
"1552311_a_at" -1.90291598352087 0.0595433062370386 0.0996054800424735
"1552312_a_at" 0.643875316614763 0.52091272986682 0.598955831053304
"1552315_at" 6.30418061832666 8.52394832270435e-09 8.52683063165026e-08
"1552316_a_at" 12.5229232711007 7.92233039357427e-22 3.97684854315451e-20
"1552318_at" 8.5420493059495 5.89115160633645e-13 1.02799784715368e-11
"1552319_a_at" 1.84836763500999 0.0674862672452779 0.110624029736959
"1552320_a_at" -1.18742061735279 0.237429539280183 0.314008756461662
"1552321_a_at" -0.745143767934502 0.457748180987514 0.53879510693159
"1552322_at" 1.18435302798932 0.238430119363768 0.315116051547749
"1552325_at" -2.4527826040187 0.0157603770990399 0.0327638617825231
"1552326_a_at" -1.23236578083706 0.220621546471344 0.295522854523843
"1552327_at" 2.5557718914934 0.0118609613536387 0.0258004980425351
"1552329_at" 0.669834489746794 0.504233455617684 0.583192837413265
"1552330_at" 2.07016390501162 0.0409092200815615 0.0728732945734532
"1552332_at" -4.03395261135775 9.63133524864034e-05 0.000428204089428329
"1552334_at" -3.17097927898629 0.00190059482894568 0.00553041937930916
"1552335_at" 4.15866966810949 7.34870628883139e-05 0.000337331997069301
"1552338_at" -1.74133576044121 0.0841775568933071 0.132676674260869
"1552340_at" -1.03638333886369 0.302163375198545 0.383210295837593
"1552344_s_at" -0.878273337165433 0.381538806840956 0.464175039165659
"1552347_at" 2.31826343973575 0.0220236961158546 0.0433335483146831
"1552348_at" 0.454699302737162 0.650562318980613 0.716491683698825
"1552349_a_at" 0.732364840094973 0.466033607231943 0.546705827079004
"1552355_s_at" -3.28135794425845 0.00132834082777115 0.00407932288561771
"1552359_at" -3.64424980043916 0.000393393344996097 0.00144330960596956
"1552362_a_at" -3.98143900588337 0.00011582136433853 0.000503287606984162
"1552364_s_at" -4.231828781397 4.37027723726313e-05 0.000212877115700935
"1552365_at" -4.43068882840566 2.06442315461607e-05 0.000109684838944071
"1552367_a_at" -4.98345474906814 1.97702308014021e-06 1.31984954387275e-05
"1552368_at" -0.906195016338354 0.366908539803837 0.449456630884617
