"t" "p" "padj"
"1552283_s_at" -1.50348017954136 0.135348907321378 0.158424447331062
"1552309_a_at" 17.9350937694473 3.74608493926601e-32 4.4806687828252e-31
"1552365_at" -4.43068882840566 2.06442315461607e-05 3.16696578127976e-05
"1552367_a_at" -4.98345474906814 1.97702308014021e-06 3.226889483683e-06
"1552455_at" -4.12903593279792 6.6898046370479e-05 0.000100118190609192
"1552502_s_at" -7.70317589823953 5.63924999066956e-12 1.22812115728522e-11
"1552511_a_at" 0.580254532103393 0.563015867474993 0.590800063813718
"1552766_at" 0.999671348509925 0.319406277377375 0.355644371392554
"1552767_a_at" 2.35313788759316 0.0201617391249215 0.02568021846943
"1552797_s_at" -3.48386737588636 0.000693322828764727 0.000975622473197424
"1552834_at" -10.1816382274156 3.56518097212576e-18 1.22109442244397e-17
"1552848_a_at" 4.44996507399624 2.44357873928909e-05 3.72621419307927e-05
"1552870_s_at" -6.22629548548703 6.71525813897795e-09 1.24468041292678e-08
"1553102_a_at" 7.82435149070718 2.21754410864895e-11 4.65076716485143e-11
"1553275_s_at" 7.39975511546101 2.93201715022564e-10 5.7624111129595e-10
"1553296_at" -3.79509548018785 0.000225829887008813 0.000326483056667131
"1553319_at" -4.86526931517588 3.21123841688921e-06 5.17516422763935e-06
"1553486_a_at" -4.39103384616374 2.64474399096229e-05 4.0169673116699e-05
"1553613_s_at" 5.24925151997755 7.41420240341468e-07 1.24056217263693e-06
"1553808_a_at" 2.87882797016265 0.00502846811486499 0.00668279920473811
"1553828_at" -12.5186017766052 8.61717743147988e-24 4.47216903308329e-23
"1553970_s_at" 3.7999330960999 0.00027253681642476 0.000391053295169923
"1554007_at" 9.7594109938888 1.40983219775365e-15 3.96774465948684e-15
"1554018_at" 13.8841979842564 1.5955959086334e-23 8.17009142514294e-23
"1554127_s_at" 18.0690823016741 5.79706540236661e-30 5.76318644871642e-29
"1554190_s_at" -5.86109254172485 5.05765743078848e-08 8.9311113339529e-08
"1554195_a_at" 8.22468661385594 9.75735536891472e-12 2.09222844114964e-11
"1554242_a_at" -2.0281360648653 0.0445699742425624 0.0549439853870416
"1554375_a_at" -4.35499548672655 2.76154906505868e-05 4.19021964182839e-05
"1554411_at" 0.463157205455576 0.644121622013525 0.667219352708192
"1554436_a_at" -8.27476478392333 2.44701088592761e-12 5.46915863701486e-12
"1554474_a_at" 14.7725464551204 4.08570758280343e-27 2.86936619691378e-26
"1554547_at" 10.5391085365854 3.19471102524838e-16 9.47888096832416e-16
"1554726_at" -0.132119271302571 0.895095031845509 0.9051456365624
"1554741_s_at" 11.5389527688703 1.64288445577061e-19 6.25685597458908e-19
"1554781_at" -3.64492687238537 0.000383633299493191 0.000547894199182906
"1554899_s_at" 13.5961384206289 4.11780698444752e-26 2.64889180386099e-25
"1554997_a_at" 1.77249968505545 0.0791586204340365 0.0954514653755005
"1555019_at" -5.18422363785542 8.00092145785611e-07 1.33435846971435e-06
"1555229_a_at" 16.7197368434781 4.06648827913942e-34 6.62318463336431e-33
"1555564_a_at" 3.77627671609826 0.000241781875370056 0.000348557486997699
"1555728_a_at" 13.019177679105 5.6838166030882e-23 2.81615638165956e-22
